154 IPOs,,,,,,
Filter results ,,,,,,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
07/25/23,ELWS,"Earlyworks Co., Ltd",$5.00,$5.02,0.40%,"'ELWS',"
07/25/23,JNVR,Janover Inc.,$4.00,$79.31,1882.75%,"'JNVR',"
07/25/23,KVAC,Keen Vision Acquisition Corporation,$10.00,$11.74,17.40%,"'KVAC',"
07/25/23,WRNT,Warrantee Inc.,$4.00,$0.27,-93.21%,"'WRNT',"
07/21/23,TSBX,Turnstone Biologics Corp.,$12.00,$0.36,-97.00%,"'TSBX',"
07/19/23,ODD,Oddity Tech Ltd.,$35.00,$41.78,19.37%,"'ODD',"
07/14/23,APGE,"Apogee Therapeutics, Inc.",$17.00,$78.54,362.00%,"'APGE',"
07/14/23,NETD,Nabors Energy Transition Corp. II,$10.00,$11.52,15.20%,"'NETD',"
07/14/23,SGMT,Sagimet Biosciences Inc.,$16.00,$6.28,-60.75%,"'SGMT',"
07/12/23,BOWN,Bowen Acquisition Corp,$10.00,$9.19,-8.10%,"'BOWN',"
07/12/23,SXTP,"60 Degrees Pharmaceuticals, Inc.",$5.30,$0.76,-85.68%,"'SXTP',"
07/06/23,PWM,Power Metals Corp.,$5.00,$1.08,-76.60%,"'PWM',"
06/30/23,INTS,"Intensity Therapeutics, Inc.",$5.00,$0.41,-91.79%,"'INTS',"
06/30/23,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",$31.00,$30.73,-0.87%,"'VTMX',"
06/29/23,FIHL,Fidelis Insurance Holdings Limited,$14.00,$19.21,37.21%,"'FIHL',"
06/29/23,KGS,"Kodiak Gas Services, Inc.",$16.00,$36.31,126.94%,"'KGS',"
06/29/23,SVV,"Savers Value Village, Inc.",$18.00,$9.11,-49.39%,"'SVV',"
06/28/23,BUJA,Bukit Jalil Global Acquisition 1 Ltd.,$10.00,$3.66,-63.40%,"'BUJA',"
