Filename,Ticker,Filed Date,Blob URL,Blob Pathname,Size (MB),Status,Error
GLOO_2025-11-19_0001193125_25_288305.pdf,GLOO,2025-11-19,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/GLOO_2025-11-19_0001193125_25_288305.pdf,filings/424b4/GLOO_2025-11-19_0001193125_25_288305.pdf,59.78,success,""
GPAC_2025-12-03_0001140361_25_044114.pdf,GPAC,2025-12-03,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/GPAC_2025-12-03_0001140361_25_044114.pdf,filings/424b4/GPAC_2025-12-03_0001140361_25_044114.pdf,4.12,success,""
HCAC_2025-11-21_0001829126_25_009359.pdf,HCAC,2025-11-21,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/HCAC_2025-11-21_0001829126_25_009359.pdf,filings/424b4/HCAC_2025-11-21_0001829126_25_009359.pdf,3.99,success,""
IGAC_2025-11-25_0001213900_25_114854.pdf,IGAC,2025-11-25,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/IGAC_2025-11-25_0001213900_25_114854.pdf,filings/424b4/IGAC_2025-11-25_0001213900_25_114854.pdf,3.83,success,""
IRHO_2025-12-17_0001213900_25_122936.pdf,IRHO,2025-12-17,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/IRHO_2025-12-17_0001213900_25_122936.pdf,filings/424b4/IRHO_2025-12-17_0001213900_25_122936.pdf,3.17,success,""
ITHA_2025-12-15_0001104659_25_120777.pdf,ITHA,2025-12-15,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ITHA_2025-12-15_0001104659_25_120777.pdf,filings/424b4/ITHA_2025-12-15_0001104659_25_120777.pdf,3.20,success,""
JMG_2025-12-10_0001213900_25_120247.pdf,JMG,2025-12-10,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/JMG_2025-12-10_0001213900_25_120247.pdf,filings/424b4/JMG_2025-12-10_0001213900_25_120247.pdf,12.15,success,""
KBON_2025-12-11_0001193125_25_316558.pdf,KBON,2025-12-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/KBON_2025-12-11_0001193125_25_316558.pdf,filings/424b4/KBON_2025-12-11_0001193125_25_316558.pdf,5.47,success,""
LFAC_2025-12-05_0001185185_25_001946.pdf,LFAC,2025-12-05,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/LFAC_2025-12-05_0001185185_25_001946.pdf,filings/424b4/LFAC_2025-12-05_0001185185_25_001946.pdf,4.14,success,""
LMRI_2025-12-11_0001193125_25_316455.pdf,LMRI,2025-12-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/LMRI_2025-12-11_0001193125_25_316455.pdf,filings/424b4/LMRI_2025-12-11_0001193125_25_316455.pdf,9.10,success,""
LPCV_2025-12-18_0001213900_25_123362.pdf,LPCV,2025-12-18,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/LPCV_2025-12-18_0001213900_25_123362.pdf,filings/424b4/LPCV_2025-12-18_0001213900_25_123362.pdf,4.01,success,""
MDLN_2025-12-18_0001193125_25_323742.pdf,MDLN,2025-12-18,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/MDLN_2025-12-18_0001193125_25_323742.pdf,filings/424b4/MDLN_2025-12-18_0001193125_25_323742.pdf,18.51,success,""
MESH_2025-12-10_0001213900_25_120264.pdf,MESH,2025-12-10,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/MESH_2025-12-10_0001213900_25_120264.pdf,filings/424b4/MESH_2025-12-10_0001213900_25_120264.pdf,3.91,success,""
NAVN_2025-10-30_0001628280_25_047640.pdf,NAVN,2025-10-30,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/NAVN_2025-10-30_0001628280_25_047640.pdf,filings/424b4/NAVN_2025-10-30_0001628280_25_047640.pdf,45.73,success,""
NWAX_2025-12-04_0001493152_25_026183.pdf,NWAX,2025-12-04,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/NWAX_2025-12-04_0001493152_25_026183.pdf,filings/424b4/NWAX_2025-12-04_0001493152_25_026183.pdf,4.59,success,""
OTH_2025-11-14_0001493152_25_022642.pdf,OTH,2025-11-14,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/OTH_2025-11-14_0001493152_25_022642.pdf,filings/424b4/OTH_2025-11-14_0001493152_25_022642.pdf,7.80,success,""
PARK_2025-12-03_0001104659_25_118023.pdf,PARK,2025-12-03,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/PARK_2025-12-03_0001104659_25_118023.pdf,filings/424b4/PARK_2025-12-03_0001104659_25_118023.pdf,6.55,success,""
POAS_2025-11-13_0001493152_25_022234.pdf,POAS,2025-11-13,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/POAS_2025-11-13_0001493152_25_022234.pdf,filings/424b4/POAS_2025-11-13_0001493152_25_022234.pdf,5.22,success,""
SAC_2025-12-04_0001213900_25_118381.pdf,SAC,2025-12-04,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/SAC_2025-12-04_0001213900_25_118381.pdf,filings/424b4/SAC_2025-12-04_0001213900_25_118381.pdf,3.56,success,""
SBXE_2025-12-03_0001104659_25_118125.pdf,SBXE,2025-12-03,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/SBXE_2025-12-03_0001104659_25_118125.pdf,filings/424b4/SBXE_2025-12-03_0001104659_25_118125.pdf,4.64,success,""
SCII_2025-11-25_0001213900_25_115025.pdf,SCII,2025-11-25,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/SCII_2025-11-25_0001213900_25_115025.pdf,filings/424b4/SCII_2025-11-25_0001213900_25_115025.pdf,3.85,success,""
SCII_2025-12-04_0001213900_25_118332.pdf,SCII,2025-12-04,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/SCII_2025-12-04_0001213900_25_118332.pdf,filings/424b4/SCII_2025-12-04_0001213900_25_118332.pdf,0.05,success,""
SMJF_2025-12-04_0001213900_25_118072.pdf,SMJF,2025-12-04,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/SMJF_2025-12-04_0001213900_25_118072.pdf,filings/424b4/SMJF_2025-12-04_0001213900_25_118072.pdf,4.95,success,""
TDWD_2025-11-07_0001213900_25_107669.pdf,TDWD,2025-11-07,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/TDWD_2025-11-07_0001213900_25_107669.pdf,filings/424b4/TDWD_2025-11-07_0001213900_25_107669.pdf,3.77,success,""
TEM_2024-06-17_0001193125_24_161989.pdf,TEM,2024-06-17,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
TTAN_2024-12-12_0001193125_24_277099.pdf,TTAN,2024-12-12,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
TWLV_2025-12-12_0001213900_25_121108.pdf,TWLV,2025-12-12,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/TWLV_2025-12-12_0001213900_25_121108.pdf,filings/424b4/TWLV_2025-12-12_0001213900_25_121108.pdf,3.83,success,""
VACI_2025-10-31_0001213900_25_104771.pdf,VACI,2025-10-31,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/VACI_2025-10-31_0001213900_25_104771.pdf,filings/424b4/VACI_2025-10-31_0001213900_25_104771.pdf,3.66,success,""
VHCP_2025-12-19_0001213900_25_123758.pdf,VHCP,2025-12-19,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/VHCP_2025-12-19_0001213900_25_123758.pdf,filings/424b4/VHCP_2025-12-19_0001213900_25_123758.pdf,3.38,success,""
